item_id,short_title,title,year,period,google_scholar_link,vegetated_strip_description,nation,study_country,study_location,latitute,longitude,studydesign_observational,studydesign_manipulative,Study length (years),Time since intervention (years),spatialscale_plot,spatialscale_field,spatialscale_farm,spatialscale_catchment,spatialscale_regional,spatialscale_notdescribed,measurementquarter_Q1,measurementquarter_Q2,measurementquarter_Q3,measurementquarter_Q4,measurementquarter_notdescribed,farmingsystem_conventional,farmingsystem_organic,farmingsystem_notdescribed,farmingproductionsystem_livestock,farmingproductionsystem_livestockinfo,farmingproductionsystem_croppedfields,farmingproductionsystem_croppedfieldsinfo,farmingproductionsystem_horticulture,farmingproductionsystem_horticultureinfo,farmingproductionsystem_viticulture,farmingproductionsystem_viticultureinfo,farmingproductionsystem_fruit,farmingproductionsystem_fruitinfo,farmingproductionsystem_grassland,farmingproductionsystem_grasslandinfo,farmingproductionsystem_other,farmingproductionsystem_otherinfo,farmingproductionsystem_notdescribed,farmingproductionsystem_notdescribedinfo,vegetationtype_grasses,vegetationtype_grassesinfo,vegetationtype_wildflowers,vegetationtype_wildflowersinfo,vegetationtype_shrubs,vegetationtype_shrubsinfo,vegetationtype_hedgerow,vegetationtype_hedgerowinfo,vegetationtype_trees,vegetationtype_treesinfo,vegetationtype_other,vegetationtype_otherinfo,vegetationtype_notdescribed,vegetationtype_notdescribedinfo,striplocation_withinfield,striplocation_fieldedge,striplocation_riparian,striplocation_notdescribed,stripmanagement_unmanaged,stripmanagement_unmanagedinfo,stripmanagement_soilamendment,stripmanagement_soilamendmentinfo,stripmanagement_soildisturbed,stripmanagement_soildisturbedinfo,stripmanagement_cut,stripmanagement_cutinfo,stripmanagement_grazed,stripmanagement_grazedinfo,stripmanagement_harvested,stripmanagement_harvestedinfo,stripmanagement_sownplanted,stripmanagement_sownplantedinfo,stripmanagement_pesticide,stripmanagement_pesticideinfo,stripmanagement_managedother,stripmanagement_managedotherinfo,stripmanagement_notdescribed,stripmanagement_notdescribedinfo
21569733,Sullivan (2014),Long-term responses in population dynamics and diversity of small mammals in riparian and upland habitats within an agricultural landscape,2014,2010-2014,http://scholar.google.co.uk/scholar?q=Long-term+responses+in+population+dynamics+and+diversity+of+small+mammals+in+riparian+and+upland+hab&btnG=&hl=en&as_sdt=0%2C5,"Riparian habitat, hedgerow",Canada,"British Columbia, Canada","Prairie Valley, Summerland (49 34 N, 119 40 W)",49.566667,-119.666667,Observational,,8,Not stated,Plot scale,,,,,,Q1,Q2,Q3,Q4,,,,Not described,,,,,,,,,Fruit (orchard),,,,,,,,,,,,Shrubs,,Hedgerow,,Trees,,Other (please specify),Herbs,,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,
21569741,Swihart (1982),Habitat features influencing use of farmstead shelterbelts by the eastern cotton tail ( Sylvilagus floridanus),1982,1980-1984,http://scholar.google.co.uk/scholar?q=Habitat+features+influencing+use+of+farmstead+shelterbelts+by+the+eastern+cotton+tail+(+Sylvilagus+f&btnG=&hl=en&as_sdt=0%2C5,Shelterbelt,USA,"Minnesota, USA","Rosemont Agricultural Station, Dakota County",44.727538,-93.098556,Observational,,2,Various,,Field scale,,,,,,,Q3,Q4,,,,Not described,,,,,,,,,,,,,,,Not described,,Grasses,"Bluegrass, goldenrod",,,Shrubs,"Caragana, Tartarian honeysuckle, balck raspberry, gooseberry, ",,,Trees,"Colorado blue spruce, pine, Eastern cottonwood, red-berried elder",,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21569744,Sykes (2001),"Fencerows as habitat for birds in an agricultural landscape in central Alberta, Canada",2001,2000-2004,"http://scholar.google.co.uk/scholar?q=Fencerows+as+habitat+for+birds+in+an+agricultural+landscape+in+central+Alberta,+Canada&btnG=&hl=en&as_sdt=0%2C5",Fencerow,Canada,"Alberta, Canada","Meanook Biological Research Station, Athabaska (54 37 N, 113 20 W)",54.616545,-113.332811,Observational,,2,Not stated,,,,,Regional scale,,,Q2,Q3,,,,,Not described,Livestock,,Cropped fields (arable),,,,,,,,,,,,,,,,,,,,,,Trees,"""Fencerows were dominated by mature trembling aspen and balsam poplar (Populus balsamifera L.) with an under- story dominated by rose (Rosa spp.), raspberry (Rubus idaeus L.), red-osier dogwood (Cornus stolonifera Michx.), and saskatoon (Amelanchier alnifolia Nutt.)""",,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21569747,Szajdak (2002),Effect of shelterbelt on two kinds of soils on the transformation of organic matter,2002,2000-2004,http://scholar.google.co.uk/scholar?q=Effect+of+shelterbelt+on+two+kinds+of+soils+on+the+transformation+of+organic+matter&btnG=&hl=en&as_sdt=0%2C5,Shelterbelt,Poland,Poland,"Agroecological Landscape Park, Turew, 40km south of Poznan, West Polish Lowland",52.058832,16.826234,Observational,,1,Not stated,Plot scale,,,,,,Q1,Q2,Q3,Q4,,,,Not described,,,,,,,,,,,,,,,Not described,,,,,,,,,,Trees,"maple, ash, beech and hawthorn",Other (please specify),elder lilac,,,,,,Not described,,,,,,,,,,,,,,,,,,,Not described,
21569749,Szajdak (2015),H-1 and C-13 NMR spectroscopic studies of hexane-extractable lipids from soils under shelterbelts of different age and composition of plants,2015,2015-2016,http://scholar.google.co.uk/scholar?q=H-1+and+C-13+NMR+spectroscopic+studies+of+hexane-extractable+lipids+from+soils+under+shelterbelts+of&btnG=&hl=en&as_sdt=0%2C5,Shelterbelt,Poland,Poland,"Dezydery Ch_apowski Agroecological Landscape Park in Turew (40 km south of Poznan, West Polish Lowland, 16 45E, 52 01N)",52.058832,16.826234,Observational,,Not stated,Various,,Field scale,,,,,,,,,Not described,,,Not described,,,,,,,,,,,,,,,Not described,,,,,,,,,,Trees,"Primarilyu Robinia pseudoaccacia, Quercus pentrea and Quercus robur, Larix deciduas, Pinus silvestris, Sorbus aucuparia, Sorbus intermedia, Tilia cordata",,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21569750,Szajdak (2013),Effectiveness of a shelterbelt in decreasing the level of inorganic elements in agricultural landscape,2013,2010-2014,http://scholar.google.co.uk/scholar?q=Effectiveness+of+a+shelterbelt+in+decreasing+the+level+of+inorganic+elements+in+agricultural+landsca&btnG=&hl=en&as_sdt=0%2C5,Shelterbelt,Poland,Poland,Chlapowski Agroecological Landscape Park in Turew,52.058832,16.826234,Observational,,5,Not stated,,Field scale,,,,,Q1,Q2,Q3,Q4,,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,,,,,,,,,Trees,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21569754,Szogi (2007),Erosion control practices integrated with polyacrylamide for nutrient reduction in rill irrigation runoff,2007,2005-2009,http://scholar.google.co.uk/scholar?q=Erosion+control+practices+integrated+with+polyacrylamide+for+nutrient+reduction+in+rill+irrigation+r&btnG=&hl=en&as_sdt=0%2C5,Filter strip,USA,"Washington, USA","North of Prosser (46.3 N, 119.8 W) and Wapato Irrigation District, Mabton (46.1 N, 120.1 W)",46.299734,-119.799556,,Manipulative,2,Not stated,Plot scale,,,,,,,Q2,Q3,,,,,Not described,,,Cropped fields (arable),Grain,,,Viticulture,,,,,,,,,,Grasses,Kentucky bluegrass,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,,Sown/planted,,,,Managed (other),Irrigation,,
21569756,Szymanski (2013),"Structural heterogeneity of linear habitats positively affects Barred Warbler Sylvia nisoria, Common Whitethroat Sylvia communis and Lesser Whitethroat Sylvia curruca in farmland of Western Poland",2013,2010-2014,"http://scholar.google.co.uk/scholar?q=Structural+heterogeneity+of+linear+habitats+positively+affects+Barred+Warbler+Sylvia+nisoria,+Common&btnG=&hl=en&as_sdt=0%2C5",Hedgerow,Poland,Poland,"Leszno, Western Poland (51 51 N, 16 34 E)",51.849884,16.566969,Observational,,<1,Not stated,,,Farm scale,,,,,Q2,,,,,,Not described,,,,,,,,,,,,,,,Not described,,,,,,Shrubs,,,,Trees,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21569759,Tahvanainen (2002),Measures of the EU Agri-Environmental Protection Scheme (GAEPS) and their impacts on the visual acceptability of Finnish agricultural landscapes,2002,2000-2004,http://scholar.google.co.uk/scholar?q=Measures+of+the+EU+Agri-Environmental+Protection+Scheme+(GAEPS)+and+their+impacts+on+the+visual+acce&btnG=&hl=en&as_sdt=0%2C5,Buffer,Finland,Finland,"Toholampi (Central Osthrobotnia), Nurmijarvi (Uusimaa) and Ylane (Varsinais-Suomi)",60.465499,24.807176,,Manipulative,Not stated,Not stated,,,,,Regional scale,,,,,,Not described,,,Not described,,,,,,,,,,,,,,,Not described,,Grasses,,,,,,Hedgerow,,,,,,,,,,Riparian,,Unmanaged,,,,,,Cut,,,,,,,,,,,,,
21569768,Tarmi (2009),"Importance of edaphic, spatial and management factors for plant communities of field boundaries",2009,2005-2009,"http://scholar.google.co.uk/scholar?q=Importance+of+edaphic,+spatial+and+management+factors+for+plant+communities+of+field+boundaries&btnG=&hl=en&as_sdt=0%2C5","Field boundary, buffer strip",Finland,Finland,"Yläneenjoki (Southern Finland), Lepsämänjoki (Southwest), Lestijoki (West) and Taipaleenjoki (East)",62.699164,25.220675,Observational,,2,Not stated,,,,,Regional scale,,,Q2,Q3,,,,,Not described,Livestock,,Cropped fields (arable),,,,,,,,,,,,,,Grasses,,,,,,,,,,,,,,,,Riparian,,Unmanaged,,,,,,Cut,Mowing,Grazed,,Harvested,,Sown/planted,,Pesticide,Herbicide use,,,,
21569773,Tattersall (2002),Is habitat linearity important for small mammal communities on farmland?,2002,2000-2004,http://scholar.google.co.uk/scholar?q=Is+habitat+linearity+important+for+small+mammal+communities+on+farmland?&btnG=&hl=en&as_sdt=0%2C5,"Field boundary, hedgerow",UK,UK,"Eysey Manor Farm (Wiltshire, 51 34'N, 1 5'W) and Harnhill Manor Farm (Gloucestershire 51 36'N, 1 3'W) ",51.353193,-1.977567,,Manipulative,2,1,,Field scale,,,Regional scale,,Q1,Q2,Q3,Q4,,,,Not described,,,Cropped fields (arable),"Wheat, barley, oil-seed rape, forage beans",,,,,,,,,,,,,Grasses,,,,,,Hedgerow,,,,Other (please specify),Clover,,,,Field edge,,,,,,,,,Cut,Once annually in July or August,,,,,Sown/planted,,,,,,,
21569774,Tattersall (2001),Habitat use by wood mice (Apodemus sylvaticus) in a changeable arable landscape,2001,2000-2004,http://scholar.google.co.uk/scholar?q=Habitat+use+by+wood+mice+(Apodemus+sylvaticus)+in+a+changeable+arable+landscape&btnG=&hl=en&as_sdt=0%2C5,"Field margin, set-aside, hedge",UK,UK,"Royal Agricultural College's Eysey Manor Farm, Wiltshire",51.353193,-1.977567,,Manipulative,2,2,,Field scale,,,,,,Q2,Q3,Q4,,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,,,,,,,Hedgerow,,,,Other (please specify),"""sheep's fescue Festuca ovina (15% seed weight), dwarf perennial rye-grass Lolium perenne (15%), cocksfoot Dactylis glomerata (15%), crested dog's-tail (10%), timothy Phleum pratense (15%), creeping red fescue Festuca rubra (24%) and red and white clover Trifolium pratense and T. repens (6%)""",,,,Field edge,,,,,,,,,Cut,,,,,,Sown/planted,,,,,,,
21569789,Thies (1999),Landscape Structure and Biological Control in Agroecosystems,1999,1995-1999,http://scholar.google.co.uk/scholar?q=Landscape+Structure+and+Biological+Control+in+Agroecosystems&btnG=&hl=en&as_sdt=0%2C5,Field margin,Germany,Germany,Northern Germany,52.341864,10.55188,Observational,,Not stated,01-Jun,,,,,Regional scale,,,,,,Not described,,,Not described,,,Cropped fields (arable),rape,,,,,,,,,,,,,,,,,,,,,,,,,Not described,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21569793,Thomas (1992),HABITAT FACTORS INFLUENCING THE DISTRIBUTION OF POLYPHAGOUS PREDATORY INSECTS BETWEEN FIELD BOUNDARIES,1992,1990-1994,http://scholar.google.co.uk/scholar?q=HABITAT+FACTORS+INFLUENCING+THE+DISTRIBUTION+OF+POLYPHAGOUS+PREDATORY+INSECTS+BETWEEN+FIELD+BOUNDARI&btnG=&hl=en&as_sdt=0%2C5,Field boundary,UK,UK,One site on the Hampshire Dorset border and one site in north Hampshire,51.08503,-1.310407,Observational,,2,Not stated,,,,,Regional scale,,Q1,,,Q4,,,,Not described,,,Cropped fields (arable),Cereal,,,,,,,,,,,,,Grasses,,,,,,Hedgerow,,,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21569795,Thomson (2010),Natural enemy responses and pest control: Importance of local vegetation,2010,2010-2014,http://scholar.google.co.uk/scholar?q=Natural+enemy+responses+and+pest+control:+Importance+of+local+vegetation&btnG=&hl=en&as_sdt=0%2C5,Shelterbelt,Australia,"South Australia, Australia","Barossa Valley (34 38 S, 138 53 E), Wrattonbully (37 38 S, 140 49 E), and Padthaway (36 35 S, 140 52 E)",-34.633333,138.88333,Observational,,<1,Not stated,,,,,Regional scale,,Q1,,,Q4,,,,Not described,,,,,,,Viticulture,,,,,,,,,,,,,,,,,,Trees,,Other (please specify),Various understory plants,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21569799,Tilak (2014),FIELD TESTING THE RIPARIAN ECOSYSTEM MANAGEMENT MODEL ON A RIPARIAN BUFFER IN THE NORTH CAROLINA UPPER COASTAL PLAIN,2014,2010-2014,http://scholar.google.co.uk/scholar?q=FIELD+TESTING+THE+RIPARIAN+ECOSYSTEM+MANAGEMENT+MODEL+ON+A+RIPARIAN+BUFFER+IN+THE+NORTH+CAROLINA+UPP&btnG=&hl=en&as_sdt=0%2C5,Riparian buffer,USA,"North Carolina, USA",Halifax County,36.264676,-77.607787,Observational,,5,6,,,,Catchment scale,,,Q1,Q2,Q3,Q4,,Conventional,,,,,Cropped fields (arable),"Corn, soybean, peanut, cotton",,,,,,,,,,,,,Grasses,Herbaceous grasses,,,,,,,Trees,Pines and hardwoods,,,,,,,Riparian,,,,,,,,,,,,,,Sown/planted,,,,,,,
21569805,Tingle (1998),Metolachlor and metribuzin losses in runoff as affected by width of vegetative filter strips,1998,1995-1999,http://scholar.google.co.uk/scholar?q=Metolachlor+and+metribuzin+losses+in+runoff+as+affected+by+width+of+vegetative+filter+strips&btnG=&hl=en&as_sdt=0%2C5,Vegetative filter strip,USA,"Mississippi, USA","Black Belt Branch Experiment Station near Brooksville, MS",33.418997,-88.804644,,Manipulative,3,2,Plot scale,,,,,,,,,,Not described,,,Not described,,,Cropped fields (arable),Soybean,,,,,,,,,,,,,Grasses,Tall fescue,,,,,,,,,,,,,,,,Not described,,,,,,,Cut,,,,,,Sown/planted,,,,,,,
21569811,Toft (2002),The epigeic spider fauna of single-row hedges in a Danish agricultural landscape,2002,2000-2004,http://scholar.google.co.uk/scholar?q=The+epigeic+spider+fauna+of+single-row+hedges+in+a+Danish+agricultural+landscape&btnG=&hl=en&as_sdt=0%2C5,Hedge,Denmark,Denmark,"Bjerringbro, central Jutland (Lådnehøje, Aidt, Sahl, Gerning, Aldrup)",56.315818,9.789435,Observational,,<1,Not stated,,,,,Regional scale,,,Q2,Q3,,,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,,,,,,,Hedgerow,,,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21569815,Tomer (2007),Spatial patterns of sediment and phosphorus in a riparian buffer in western Iowa,2007,2005-2009,http://scholar.google.co.uk/scholar?q=Spatial+patterns+of+sediment+and+phosphorus+in+a+riparian+buffer+in+western+Iowa&btnG=&hl=en&as_sdt=0%2C5,Riparian buffer,USA,"Iowa, USA",Deep Loess Research Station near Treynor,41.218459,-95.606754,Observational,,5,5,Plot scale,,,,,,,Q2,Q3,,,Conventional,,,,,Cropped fields (arable),Corn-soybean,,,,,,,,,,,,,,,,,,,,,,,Other (please specify),"""three strips of vegetation, including switchgrass (Paiiicuni i'hyatuiii L.) at the crop-field edge (5 in ft] wide), a broiiie and alfalfa mix (Bro,,ius inennis L. and Medicaeo satii'a L.) in the intermedi- ate position (5 in ft] wide), and four rows of poplar (Popiilus deltoide.c) with one row of walnut trees (Juilaiis ii(i,ra L.) planted in the center""",,,,,Riparian,,,,,,,,Cut,Mown,,,,,Sown/planted,,,,,,,
21569831,Tseng (2012),The Green Fence of Chinese Hibiscus (Hibiscus rosa-sinensis L.) Prevents Pollen Dispersal of Transgenic Rice (Oryza sativa),2012,2010-2014,http://scholar.google.co.uk/scholar?q=The+Green+Fence+of+Chinese+Hibiscus+(Hibiscus+rosa-sinensis+L.)+Prevents+Pollen+Dispersal+of+Transge&btnG=&hl=en&as_sdt=0%2C5,Green fence,Taiwan,Taiwan,"Taiwan Agriculture Research Institute (TARI) (24 1 N, 120 41 E)",24.016672,120.683293,,Manipulative,Not stated,Not stated,Plot scale,,,,,,,,,,Not described,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,,,,,Shrubs,Chinese hibiscus,,,,,,,,,,Field edge,,,,,,,,,,,,,,,Sown/planted,,,,,,,
21569832,Tsitsilas (2006),Shelterbelts in agricultural landscapes suppress invertebrate pests,2006,2005-2009,http://scholar.google.co.uk/scholar?q=Shelterbelts+in+agricultural+landscapes+suppress+invertebrate+pests&btnG=&hl=en&as_sdt=0%2C5,Shelterbelt,Australia,"Victoria, Australia","Western and central Victoria: Gerangamete (38 29 S, 143 54 E), Streatham (37 40 S, 143 03 E), Hamilton (37 44 S, 142 01 E), Bendigo (36 45 S, 144 16 E)",-38.459737,143.722358,Observational,,<1,Not stated,,,,,Regional scale,,,Q2,Q3,,,,,Not described,Livestock,,,,,,,,,,,,,,,,,,,,,,,,Trees,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21569833,Tufekcioglu (2001),Soil respiration within riparian buffers and adjacent crop fields,2001,2000-2004,http://scholar.google.co.uk/scholar?q=Soil+respiration+within+riparian+buffers+and+adjacent+crop+fields&btnG=&hl=en&as_sdt=0%2C5,Riparian buffer,USA,"Iowa, USA","Bear Creek, in Story County, (42 11' N, 93 30' W)",42.182677,-93.501316,,Manipulative,2,06-Jul,Plot scale,,,,,,,Q2,Q3,Q4,,,,Not described,,,Cropped fields (arable),Maize-soybean rotation,,,,,,,,,,,,,Grasses,"switchgrass (Panicum virgatum L.), cool season grasses (smooth brome (Bromus inermis Leysser.), timothy (Phleum 16 pratense L.), and Kentucky bluegrass (Poa pratensis L.).)",,,,,,,Trees,"hybrid poplar (Populus X euroamericana’ Eugenei), red osier dogwood (Cornus sericea L.), ninebark (Physocarpus opulifolius L.)",,,,,,,Riparian,,,,,,,,,,,,,,Sown/planted,,,,,,,
21569835,Tuzet (2007),Measured winds about a thick hedge,2007,2005-2009,http://scholar.google.co.uk/scholar?q=Measured+winds+about+a+thick+hedge&btnG=&hl=en&as_sdt=0%2C5,Hedge,France,France,Villepreux (near Paris),48.830102,2.005269,Observational,,<1,Not stated,Plot scale,,,,,,,,Q3,,,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,Not described,On one side was a ploughed field,,,,,,,,,Trees,Leyland Cypress hedge (Cupressus leylandi),,,,,,,,Not described,,,,,,,,,,,,,,,,,,,Not described,
21569839,Twardowski (2005),The effect of the strip-management on reduction of Aphis fabae (Homoptera: Aphididae) populations by predators on sugar beet crop,2005,2005-2009,http://scholar.google.co.uk/scholar?q=The+effect+of+the+strip-management+on+reduction+of+Aphis+fabae+(Homoptera:+Aphididae)+populations+by&btnG=&hl=en&as_sdt=0%2C5,Strip,Poland,Poland,"Agricultural Experimental Station at Paw_owice near Wroc_aw, Lower Silesia",49.958195,18.716076,,Manipulative,3,2,Plot scale,,,,,,,Q2,Q3,,,Conventional,,,,,Cropped fields (arable),Sugar beet,,,,,,,,,,,,,,,Wildflowers,"""mixture of Sinapis alba L. (25%), Phacelia tana- cetifolia Benth. (25%) and Coriandrum sativum L. (50%)""",,,,,,,Other (please specify),"""uncultivated (weedy)""",,,Within field,,,,,,,,,,,,,,,,Sown/planted,,,,,,,
21569843,Udawatta (2006),"Runoff and sediment from row-crop, row-crop with grass strips, pasture, and forest watersheds",2006,2005-2009,"http://scholar.google.co.uk/scholar?q=Runoff+and+sediment+from+row-crop,+row-crop+with+grass+strips,+pasture,+and+forest+watersheds&btnG=&hl=en&as_sdt=0%2C5","Riparian buffer, grass filter strip",USA,"Missouri, USA",Long Branch Watershed in Macon and Adair Counties (39 50’ N to 40 05’ N and 90 32’ W to 92 20’ W),39.83358,-92.333123,Observational,,3,Not stated,,,,Catchment scale,,,Q1,Q2,Q3,Q4,,,,Not described,,,Cropped fields (arable),Row crop: corn-soybean (some wheat and sorghum),,,,,,,,,,,,,Grasses,,,,,,,,,,,,,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,
21569844,Udawatta (2005),Growth of three oak species during establishment of an agroforestry practice for watershed protection,2005,2005-2009,http://scholar.google.co.uk/scholar?q=Growth+of+three+oak+species+during+establishment+of+an+agroforestry+practice+for+watershed+protectio&btnG=&hl=en&as_sdt=0%2C5,Agroforestry strip,USA,"Missouri, USA","University of Missouri-Greenley Memorial Research Center in Knox County, (40 01N, 92 11W)",40.205553,-92.223413,,Manipulative,4,2,,,,Catchment scale,,,,,,,Not described,,,Not described,,,,,,,,,,,,,,,Not described,,Grasses,"redtop (Agrostis gigantea Roth), brome (Bromus spp.)",,,,,,,Trees,"Pin oak (Quercus palustris Muenchh.), swamp white oak (Quercus bicolor Willd.), and bur oak (Quercus macrocarpa Michx.)",Other (please specify),birdsfoot trefoil (Lotus corniculatus),,,,Field edge,,,,,,,,,,,,,,,Sown/planted,,,,Managed (other),Fenced,,
21569849,Unger (2013),Microbial community diversity in agroforestry and grass vegetative filter strips,2013,2010-2014,http://scholar.google.co.uk/scholar?q=Microbial+community+diversity+in+agroforestry+and+grass+vegetative+filter+strips&btnG=&hl=en&as_sdt=0%2C5,Vegetative filter strip,USA,"Missouri, USA","University of Missouri’s Greenley Memorial Research Center (40 01N, 92 11W)",40.016595,-92.183376,,Manipulative,<1,12,,,,Catchment scale,,,,,,Q4,,,,Not described,,,Cropped fields (arable),corn-soybean rotation,,,,,,,,,,,,,Grasses,"redtop (Agrostis gigantea Roth), brome grass (Bromus spp.) ",,,,,,,Trees,"pin oak (Quercus palustris Muenchh), swamp white oak (Q. bicolor Willd.) and bur oak (Q. macrocarpa Michx.)",Other (please specify),birdsfoot trefoil (Lotus corniculatus L.),,,,Field edge,,,,,,,,,,,,,,,Sown/planted,,,,Managed (other),Fenced,,
21569852,Uusi-Kämppä (2010),Long-term monitoring of buffer zone efficiency under different cultivation techniques in boreal conditions,2010,2010-2014,http://scholar.google.co.uk/scholar?q=Long-term+monitoring+of+buffer+zone+efficiency+under+different+cultivation+techniques+in+boreal+cond&btnG=&hl=en&as_sdt=0%2C5,Vegetative buffer zone,Finland,Finland,"Jokioinen (60 48N and 23 28E), SW Finland",60.794433,23.45435,,Manipulative,16,4,Plot scale,,,,,,Q1,Q2,Q3,Q4,,Conventional,,,Livestock,Cattle grazing,Cropped fields (arable),"Barley, oats, wheat",,,,,,,,,,,,,Grasses,"timothy (Phleum pratense) and meadow fescue (Festuca pratensis), Common bent (Agrostis tenuis)",,,,,,,Trees,"birch (Betula), goat willow (Salix caprea), mountain currant (Ribes alpinum), European cranberry bush (Viburnum opulus), alder (Alnus), maple (Acer platanoides) and mountain ash (Sorbus aucuparia)",Other (please specify),"white clover (Trifolium repens), dandelion (Taraxacum sp. Weber) and meadow vetchling (Lathyrus palustris) field sow-thistle (Sonchus arvensis), scentless mayweed (Tripleurospermum inodorum Sch. Bip) and yarrow (Achillea millefolium))",,,,,Riparian,,,,,,,,Cut,Mown annually with residue removed,,,,,Sown/planted,,,,,,,
21569856,van Alebeek (2006),Improving natural pest suppression in arable farming: field margins and the importance of ground dwelling predators,2006,2005-2009,http://scholar.google.co.uk/scholar?q=Improving+natural+pest+suppression+in+arable+farming:+field+margins+and+the+importance+of+ground+dwe&btnG=&hl=en&as_sdt=0%2C5,Field margin,The Netherlands,The Netherlands,Nagele,52.645929,5.727907,Observational,,4,Not stated,,,,,Regional scale,,Q1,Q2,,,,,Organic,,,,Cropped fields (arable),,,,,,,,,,,,,,,,,,,,,,,,,,Not described,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21569858,van Alebeek (2003),Manipulating biodiversity in arable farming for better pest suppression: which species and what scale?,2003,2000-2004,http://scholar.google.co.uk/scholar?q=Manipulating+biodiversity+in+arable+farming+for+better+pest+suppression:+which+species+and+what+scal&btnG=&hl=en&as_sdt=0%2C5,Field margin,The Netherlands,The Netherlands,Nagele,52.645929,5.727907,,Manipulative,<1,1,Plot scale,,,,,,,Q2,Q3,Q4,,,Organic,,,,Cropped fields (arable),"6-year crop rotation of potato, summer wheat, iceberg lettuce, carrots, white cabbage and grass-clover",,,,,,,,,,,,,Grasses,,Wildflowers,,,,,,,,,,,,,Field edge,,,,,,,,,,,,,,,Sown/planted,,,,,,,
21569867,van Rijn (2006),The impact of floral resources on syrphid performance and cabbage aphid biological control,2006,2005-2009,http://scholar.google.co.uk/scholar?q=The+impact+of+floral+resources+on+syrphid+performance+and+cabbage+aphid+biological+control&btnG=&hl=en&as_sdt=0%2C5,Field margin,Not stated,Not stated,Not stated,not stated,not stated,,Manipulative,2,2,,Field scale,,,,,,,Q3,,,,,Not described,,,Cropped fields (arable),Brussels sprouts,,,,,,,,,,,,,Grasses,,,,,,,,,,Other (please specify),"""One part was sown with a mixture of flowers that can provide nectar and pollen for different natural enemies (buckwheat, cornflower and borage provided the main flowers from week 25 till week 40). Another part was sown with Vicia faba (broad bean or field bean)""",,,,Field edge,,,,,,,,,,,,,,,Sown/planted,,,,,,,
21569871,Varchola (2001),Influence of hedgerow and grassy field borders on ground beetle (Coleoptera: Carabidae) activity in fields of corn,2001,2000-2004,http://scholar.google.co.uk/scholar?q=Influence+of+hedgerow+and+grassy+field+borders+on+ground+beetle+(Coleoptera:+Carabidae)+activity+in+&btnG=&hl=en&as_sdt=0%2C5,"Hedge, grassy field border",USA,"Iowa, USA ",Lucas and Wayne Counties,41.019378,-93.440146,,Manipulative,<1,Not stated,,Field scale,,,,,,Q2,Q3,,,Conventional,,,,,Cropped fields (arable),Dent corn,,,,,,,,,,,,,Grasses,"Smooth Brome Bromus inermis Leysser, Sedge Carex spp. L., Reed Canary Grass Phalaris arundinacea L., Goldenrod Solidago spp. ",,,,,Hedgerow,,Trees,Dominant vegetation: Osage Orange Maclura pomifera American Elm Ulmus americana L. Grape Vine Vitis spp. Adanson Slippery Elm Ulmus rubra Muhl. Wild Plum Prunus americana Marsh. White Mulberry Morus alba L. Choke Cherry Prunus virginiana L. Black Walnut Juglans nigra L. Honey Locust Gleditsia triacanthes L. ,Other (please specify),"Giant Ragweed Ambrosia tridida L. 1 Avens Geum spp. L. Wild Oats Avena fatua L. Squirrel-tail Barley Hordeum jubatum L. Poison Ivy Toxicodendron radicans (L.) Kuntze ssp. Heath Aster Aster ericoides Virginia Creeper Parthenocissus quinquefolia (L.) Foxtail Setaria spp. Beauv., Prickley Lettuce Lactuca serriola L., Sunflower Heliantus spp. L., Common Ragweed Ambrosia coronopifolia L. ",,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
